Location,Core name,Lat,Lon,Water Depth,Average oxygen (umol/kg),Average oxygen (umol/kg) 1stdev,Cib Species,Globobulimina species,Ddl3C,Ddl3C 1stdev,type,reference,[NO3][µmol/kg],[PO4][µmol/kg],TOC [%],CaCO3 [%],outlier,Age,Age source,O2,O2_sd,dd13C,dd13C_sd,water_depth,NO3,PO4,Group,is_foram_only,is_outlier,low_o2,is_sub,complete_core,use_all_calib,use_sub_calib,calibration_decision
Arabian,GeoB3004,14.6,52.9,1803,82.19,1.12,C.wuellerstorfi,G.affinis,0.96,0.23,epifaunal and deep infaunal benthic foraminifera,"Schmiedl and Mackensen, 2006",37.254,2.772,NA,NA,0,NA,NA,82.19,1.12,0.96,0.23,1803,37.254,2.772,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,GeoB3708,-21.1,11.8,1283,182.36,3.2,C.wuellerstorfi,G.pacifica,1.75,0.23,epifaunal and deep infaunal benthic foraminifera,"Mackensen and Licari, 2004",30.273,1.936,4.9,52.6,0,NA,NA,182.36,3.2,1.75,0.23,1283,30.273,1.936,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,GeoB3706,-22.7,12.6,1313,184.13,3.11,C.wuellerstorfi,G.pacifica,1.79,0.23,epifaunal and deep infaunal benthic foraminifera,"Mackensen and Licari, 2004",28.846,1.978,3.74,55.2,0,NA,NA,184.13,3.11,1.79,0.23,1313,28.846,1.978,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,JC89-13,37.94,-9.59,1448,178.13,32.35,C.wuellerstorfi,G.affinis,2.54,0.23,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",16.365,0.974,NA,NA,0,NA,NA,178.13,32.35,2.54,0.23,1448,16.365,0.974,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,GeoB3606-1,-25.47,13.08,1785,212.93,1.57,C.wuellerstorfi,G.turgida,1.9,0.23,epifaunal and deep infaunal benthic foraminifera,"McKay at al., 2016",NA,NA,6.35,62.7,0,NA,NA,212.93,1.57,1.9,0.23,1785,NA,NA,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,GeoB3725,-23.3,12.4,1980,223.95,2.77,C.wuellerstorfi,G.pacifica,1.9,0.23,epifaunal and deep infaunal benthic foraminifera,"Mackensen and Licari, 2004",22.667,1.591,2.05,76.4,0,NA,NA,223.95,2.77,1.9,0.23,1980,22.667,1.591,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,KNR197-3-41MC,8.38,-53.05,2052,255.56,0.9,C.wuellerstorfi,G.affinis,2.6,0.23,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,255.56,0.9,2.6,0.23,2052,NA,NA,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,RAPID 11 7B/RAPID,62.3,-17.15,2126,278.86,1.8,C.wuellerstorfi,G.pacifica,3.13,0.23,epifaunal and deep infaunal benthic foraminifera,"Hoogakker et al., 2015",NA,NA,NA,NA,0,NA,NA,278.86,1.8,3.13,0.23,2126,NA,NA,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,KNR197-3-37MC,8.43,-52.79,2440,257.02,0.68,C.wuellerstorfi,G.affinis,2.9,0.23,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",18.285,1.222,NA,NA,0,NA,NA,257.02,0.68,2.9,0.23,2440,18.285,1.222,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,KNR197-3-35MC,8.47,-52.79,3328,258.72,0.2,C.wuellerstorfi,G.affinis,2.83,0.23,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",18.848,1.296,NA,NA,0,NA,NA,258.72,0.2,2.83,0.23,3328,18.848,1.296,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,ODP 1242,7.86,-83.61,1364,92.21,5.11,C.wuellerstorfi,mixed,1.08,0.23,epifaunal and deep infaunal benthic foraminifera,"Hoogakker et al., 2015",41.268,3.02,NA,NA,0,NA,NA,92.21,5.11,1.08,0.23,1364,41.268,3.02,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,TR163-25,-1.65,-88.45,2650,119.89,2.98,C.wuellerstorfi,G.affinis,1.69,0.23,epifaunal and deep infaunal benthic foraminifera,"Hoogakker et al., 2015",37.395,2.787,NA,NA,0,NA,NA,119.89,2.98,1.69,0.23,2650,37.395,2.787,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,TR163-23,0.41,-92.16,2730,120.09,3.66,C.wuellerstorfi,G.affinis,1.78,0.23,epifaunal and deep infaunal benthic foraminifera,"Umling and Thunel, 2018",37.438,2.678,NA,NA,0,NA,NA,120.09,3.66,1.78,0.23,2730,37.438,2.678,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,ODP 1240,0.02,-86.46,2921,124.13,1.65,C.wuellerstorfi,G.affinis,2.15,0.23,epifaunal and deep infaunal benthic foraminifera,"Jacobel et al., 2020",NA,NA,0.992,60.54,0,NA,NA,124.13,1.65,2.15,0.23,2921,NA,NA,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,ODP 846,-3.09,-90.82,3295,137.97,2.31,C.wuellerstorfi,G.affinis,1.61,0.23,epifaunal and deep infaunal benthic foraminifera,"Jacobel et al., 2020",37.478,2.729,1.03,66,0,NA,NA,137.97,2.31,1.61,0.23,3295,37.478,2.729,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-18B,-3.986617,-81.3099,1024,60.09,2.93,C.wuellerstorfi,G.affinis,0.893,0.264552452266087,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",43.556,2.93,NA,NA,0,NA,NA,60.09,2.93,0.893,0.264552452266087,1024,43.556,2.93,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-4B,-0.216133,-89.504217,1612,76.85,1.07,C.wuellerstorfi,G.affinis,1.25116666666667,0.106092255450936,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",NA,NA,NA,NA,0,NA,NA,76.85,1.07,1.25116666666667,0.106092255450936,1612,NA,NA,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-9B,-0.826,-87.908167,1563,82.51,0.8,C.wuellerstorfi,G.affinis,0.814833333333333,0.10455508914762,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",39.906,2.905,NA,NA,0,NA,NA,82.51,0.8,0.814833333333333,0.10455508914762,1563,39.906,2.905,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Pacific,KNR195-5-MC-33B,-3.223583,-82.914167,2949,134,3.6,C.wuellerstorfi,G.affinis,1.1865,0.262607121000173,epifaunal and deep infaunal benthic foraminifera,"Lu et al., 2026",38.119,2.659,NA,NA,0,NA,NA,134,3.6,1.1865,0.262607121000173,2949,38.119,2.659,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
