Location,Core name,Lat,Lon,O2,O2_sd,Cib Species,Globobulimina species,dd13C,dd13C_sd,type,reference,Group,is_outlier,low_o2,is_foram_only,use_all_calib,use_sub_calib,calibration_decision
Arabian,GeoB3004,14.6,52.9,82.19,1.12,C.wuellerstorfi,G.affinis,0.96,0.23,epifaunal and deep infaunal benthic foraminifera,"Schmiedl and Mackensen, 2006",C_wuel,FALSE,FALSE,TRUE,TRUE,TRUE,included_all
Atlantic,KNR197-3-24MC,7.59,-53.92,119.73,3.51,C.pachyderma,G.affinis,0.87,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-2MC,7.66,-53.82,120.55,3.49,C.pachyderma,G.affinis,1.12,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-26MC,7.72,-53.78,128.92,1.45,C.pachyderma,G.affinis,1.24,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-28MC,7.84,-53.67,150.18,0.81,C.pachyderma,G.affinis,1.46,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-17MC,7.44,-52.76,155.4,3.74,C.pachyderma,G.affinis,1.64,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-10MC,7.94,-53.58,172.58,0.99,C.pachyderma,G.affinis,1.68,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-33MC,8.25,-53.24,199.2,2.26,C.pachyderma,G.affinis,1.73,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",C_pach,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-11,37.86,-9.34,190.53,5.89,C.mundulus,G.affinis,1.84,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",C_mund,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-10,37.84,-9.51,187.96,1.18,C.mundulus,G.affinis,1.65,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",C_mund,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
