Location,Core name,Lat,Lon,Water Depth,Average oxygen (umol/kg),Average oxygen (umol/kg) 1stdev,Cib Species,Globobulimina species,Ddl3C,Ddl3C 1stdev,type,reference,[NO3][µmol/kg],[PO4][µmol/kg],TOC [%],CaCO3 [%],outlier,Age,Age source,O2,O2_sd,dd13C,dd13C_sd,water_depth,NO3,PO4,Group,is_foram_only,is_outlier,low_o2,is_sub,complete_core,use_all_calib,use_sub_calib,calibration_decision
Arabian,GeoB3004,14.6,52.9,1803,82.19,1.12,C.wuellerstorfi,G.affinis,0.96,0.23,epifaunal and deep infaunal benthic foraminifera,"Schmiedl and Mackensen, 2006",37.254,2.772,NA,NA,0,NA,NA,82.19,1.12,0.96,0.23,1803,37.254,2.772,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,KNR197-3-24MC,7.59,-53.92,383,119.73,3.51,C.pachyderma,G.affinis,0.87,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,119.73,3.51,0.87,0.32,383,NA,NA,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-2MC,7.66,-53.82,556,120.55,3.49,C.pachyderma,G.affinis,1.12,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,120.55,3.49,1.12,0.32,556,NA,NA,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-26MC,7.72,-53.78,704,128.92,1.45,C.pachyderma,G.affinis,1.24,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,128.92,1.45,1.24,0.32,704,NA,NA,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-28MC,7.84,-53.67,962,150.18,0.81,C.pachyderma,G.affinis,1.46,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,150.18,0.81,1.46,0.32,962,NA,NA,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-17MC,7.44,-52.76,1029,155.4,3.74,C.pachyderma,G.affinis,1.64,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",30.959,2.087,NA,NA,0,NA,NA,155.4,3.74,1.64,0.32,1029,30.959,2.087,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-10MC,7.94,-53.58,1107,172.58,0.99,C.pachyderma,G.affinis,1.68,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",NA,NA,NA,NA,0,NA,NA,172.58,0.99,1.68,0.32,1107,NA,NA,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,KNR197-3-33MC,8.25,-53.24,1275,199.2,2.26,C.pachyderma,G.affinis,1.73,0.32,epifaunal and deep infaunal benthic foraminifera,"Costa et al., 2023",23.812,1.576,NA,NA,0,NA,NA,199.2,2.26,1.73,0.32,1275,23.812,1.576,C_pach,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-11,37.86,-9.34,628,190.53,5.89,C.mundulus,G.affinis,1.84,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",14.796,0.821,NA,NA,0,NA,NA,190.53,5.89,1.84,0.14,628,14.796,0.821,C_mund,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-10,37.84,-9.51,1127,187.96,1.18,C.mundulus,G.affinis,1.65,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",14.926,0.881,NA,NA,0,NA,NA,187.96,1.18,1.65,0.14,1127,14.926,0.881,C_mund,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-13,37.94,-9.59,1448,178.13,32.35,C.mundulus,G.affinis,2.29,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",16.365,0.974,NA,NA,0,NA,NA,178.13,32.35,2.29,0.14,1448,16.365,0.974,C_mund,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,included_all
Atlantic,JC89-09,37.83,-9.82,2323,194.69,24.12,C.mundulus,G.affinis,3.74,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",NA,NA,NA,NA,1,NA,NA,194.69,24.12,3.74,0.14,2323,NA,NA,C_mund,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,outlier
Atlantic,JC89-08,37.78,-10.05,2619,193.31,22.79,C.mundulus,G.affinis,3.25,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",20.095,1.339,NA,NA,1,NA,NA,193.31,22.79,3.25,0.14,2619,20.095,1.339,C_mund,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,outlier
Atlantic,JC89-06,37.56,-10.14,2645,194.17,21.88,C.mundulus,G.affinis,2.72,0.14,epifaunal and deep infaunal benthic foraminifera,"Thomas et al., 2022",20.095,1.339,NA,NA,1,NA,NA,194.17,21.88,2.72,0.14,2645,20.095,1.339,C_mund,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,outlier
Atlantic,GeoB3708,-21.1,11.8,1283,182.36,3.2,C.wuellerstorfi,G.pacifica,1.75,0.23,epifaunal and deep infaunal benthic foraminifera,"Mackensen and Licari, 2004",30.273,1.936,4.9,52.6,0,NA,NA,182.36,3.2,1.75,0.23,1283,30.273,1.936,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
Atlantic,GeoB3706,-22.7,12.6,1313,184.13,3.11,C.wuellerstorfi,G.pacifica,1.79,0.23,epifaunal and deep infaunal benthic foraminifera,"Mackensen and Licari, 2004",28.846,1.978,3.74,55.2,0,NA,NA,184.13,3.11,1.79,0.23,1313,28.846,1.978,C_wuel,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,included_all
